Date	Financials	Consumer Discretionary	Consumer Staples	Health	Industrials	Information Tech	Materials	Real Estate	Tele Services	Utilities	Energy
30/12/2015	-0.007853346	-0.00783143	-0.003554583	-0.00455818	-0.007740201	-0.007794602	-0.010370741	-0.005703276	-0.007928751	-0.001482022	-0.014661127
31/12/2015	-0.009085813	-0.009726967	-0.011045266	-0.008979815	-0.006643392	-0.014290819	-0.007759751	-0.008082615	-0.009841415	-0.010524406	0.003378627
4/1/2016	-0.020483002	-0.017922135	-0.013001023	-0.019106349	-0.014216979	-0.015551326	-0.016700801	-0.012038737	-0.005069774	-0.002681802	-0.001538673
5/1/2016	0.003331814	-0.001721602	0.007016156	0.005579275	0.002057168	-0.004237898	-0.000222981	0.020326757	0.009788849	0.007884762	0.005047481
6/1/2016	-0.015528649	-0.009937009	-0.003279838	-0.008322443	-0.014654476	-0.012796024	-0.026058546	-0.00662323	-0.017329531	-0.001899241	-0.036221457
7/1/2016	-0.028206113	-0.020123103	-0.012714726	-0.020502339	-0.027949588	-0.031409327	-0.027366405	-0.020369539	-0.012635102	-0.007067767	-0.023656313
8/1/2016	-0.015669389	-0.010818328	-0.007553469	-0.014405251	-0.010169627	-0.007970211	-0.010202904	-0.013772815	-0.004653445	-0.000182554	-0.013413681
11/1/2016	0.003559906	0.008797223	0.009498825	-0.011870602	0.000760163	0.006275373	-0.015898167	0.005216577	0.00790656	0.00602413	-0.020944539
12/1/2016	0.005555196	0.010281464	0.004468482	0.011884538	0.007250867	0.012442731	0.001450329	-0.005081369	-0.004024636	-0.004899301	0.003740645
13/1/2016	-0.02602505	-0.03375481	-0.017382945	-0.029324216	-0.02317287	-0.027900931	-0.022849819	-0.014452614	-0.011848475	-4.56E-05	-0.017756615
14/1/2016	0.010148299	0.007386551	0.004686889	0.026739975	0.01307785	0.020198134	0.01362706	0.000330766	0.017604717	0.014998829	0.044735351
15/1/2016	-0.023509157	-0.020910243	-0.015940444	-0.013850785	-0.018959406	-0.031497161	-0.020592207	-0.012730767	-0.010897739	-0.008893261	-0.02872057
19/1/2016	-0.000346425	0.003859035	0.012345669	-0.000931224	0.000141231	-0.000670235	-0.012109141	0.007145243	0.011844107	0.014864492	-0.021700891
20/1/2016	-0.021033949	-0.009461312	-0.014526559	0.002097108	-0.013533233	-0.00644765	-0.006926345	-0.03042903	-0.016060981	-0.022907943	-0.02932659
21/1/2016	-0.002973333	0.013716091	0.004165398	-0.002661117	0.005487528	0.00334447	0.008919074	0.008689215	0.024138923	0	0.028848686
22/1/2016	0.019526395	0.017044263	0.016250191	0.015517184	0.007616976	0.028058067	0.017680582	0.026466411	0.023704966	0.017458102	0.043122614
25/1/2016	-0.022878459	-0.011773966	-0.007965422	-0.009438445	-0.012575421	-0.013698165	-0.032647151	-0.008889138	-0.003298588	-0.008758982	-0.045176597
26/1/2016	0.017783286	0.014714617	0.009107973	0.007854417	0.018244752	0.009032768	0.017917144	0.01960896	0.019261343	0.00756758	0.037795996
27/1/2016	-0.003921689	-0.015101126	-0.001049046	-0.011012732	-0.01093808	-0.024643926	-0.008152843	-0.018029848	0.00831222	0.001933855	-0.006364352
28/1/2016	0.000773372	0.012234755	0.010362819	-0.023032846	0.006062323	0.01480138	0.002065529	-0.009403007	0.000579612	0.016159467	0.031538474
29/1/2016	0.028838355	0.012310502	0.021218969	0.017453788	0.027728083	0.036025949	0.028899525	0.019096884	0.017765155	0.019392169	0.026230088
1/2/2016	-0.005769896	0.004925377	0.00224677	0.0004549	-0.003252217	0.001938348	0.004129399	0.001488119	0.009296745	0.010443248	-0.018726883
2/2/2016	-0.026063654	-0.019081223	-0.012664991	-0.014522677	-0.019829974	-0.020232983	-0.006962568	-0.011061635	-0.011404174	0.003688141	-0.032588549
3/2/2016	-0.000528855	-0.003377077	-0.001862917	0.004916602	0.01507371	-0.003741233	0.033252698	0.004229325	0.016543072	0.01196378	0.039648075
4/2/2016	0.009136756	-0.005670467	-0.009137948	-0.004604016	0.01713629	0.001162384	0.027579414	0.00066494	-0.00137175	-0.004095597	-0.000372978
5/2/2016	-0.013668474	-0.031869975	-0.001295039	-0.019581727	-0.010490045	-0.033490115	-0.010465425	-0.027522434	0.00761739	0.003052534	-0.020334402
8/2/2016	-0.026404331	-0.019701217	-0.002534497	-0.013978339	-0.008719568	-0.016339739	-0.027083935	-0.030294444	-0.003779902	-0.004099925	0.000666562
9/2/2016	-0.001638195	-0.002638092	0.0061061	0.007197325	0.005370387	-0.003992278	0.011512215	-0.018086715	-0.011196137	0.003565112	-0.024715179
10/2/2016	-0.00466727	-0.000771446	-0.001468314	0.009202977	-0.004535829	0.003568203	-0.009676022	0.006040275	-0.00421462	-0.002748918	-0.00499997
11/2/2016	-0.029600273	-0.000827244	-0.00815623	-0.017031222	-0.020053228	-0.002004901	-0.021703433	-0.012780846	-0.004864209	-0.018743896	-0.004240743
12/2/2016	0.040054305	0.017901244	0.014212861	0.014229379	0.019472244	0.013481531	0.028488424	0.013428046	0.012188143	-0.00341412	0.025798855
16/2/2016	0.017676933	0.024707615	0.007152987	0.018320728	0.020049554	0.018923393	0.015162962	0.017112238	0.004766446	0.006027751	0.00801535
17/2/2016	0.012554908	0.021113294	0.010295327	0.013209342	0.015615436	0.023237848	0.019758481	0.009697416	0.002621548	-0.002198413	0.029187646
18/2/2016	-0.006093948	-0.006702154	-0.004118347	-0.006883563	-0.001497337	-0.006594683	-0.004382532	0.009199238	0.010645529	0.016416119	-0.009345311
19/2/2016	0.001134134	0.003286704	0.00192341	-0.001089604	-0.001745745	0.002242722	-0.010580047	0.003669178	-0.00726865	-0.006332903	-0.003479243
22/2/2016	0.014974442	0.01910147	0.004396228	0.013575516	0.016905091	0.014351133	0.018654382	0.012623473	0.006639315	0.011163868	0.022353982
23/2/2016	-0.018276274	-0.005527775	-0.000439682	-0.007675729	-0.01000972	-0.018413147	-0.023791249	-0.003045991	-0.005362727	0.000846075	-0.032156033
24/2/2016	-0.002025109	0.005883464	0.002963935	0.003488623	0.001024502	0.008914811	0.009889679	-0.000622387	0.008180417	0.004564609	0.00899874
25/2/2016	0.013777128	0.009912803	0.011877488	0.012877455	0.011146167	0.012949554	0.012629698	0.017664015	0.006454408	0.009887269	0.001854132
26/2/2016	0.006566793	-0.001195404	-0.014413612	-0.002082524	0.001188164	-0.002829487	0.01346999	-0.003338003	-0.003603471	-0.027329907	0.003795055
29/2/2016	-0.010570852	-0.005158024	-0.003899786	-0.015780388	-0.006834682	-0.00667477	-0.006172157	-0.000614014	-0.004658542	0.002013112	-0.011552152
1/3/2016	0.035436052	0.026245769	0.010363537	0.021451976	0.019937111	0.030786063	0.025603907	0.028652843	0.013425253	-0.004915829	0.022217508
2/3/2016	0.009126175	-0.001139219	0.001272619	0.001460771	0.001562062	0.001823614	-0.004346471	0.005592652	0.010573684	0.004510516	0.02450626
3/3/2016	0.006310303	0.005553787	0.005159962	-0.003492989	0.005978576	-0.000630647	0.005372943	0.003347788	0.002766034	0.005944233	0.012805466
4/3/2016	0.004057617	-0.00029587	0.004831552	-0.001489457	0.004134241	0.003470704	0.01183894	0.001829708	-0.001858944	0.011648198	0.009059762
7/3/2016	-0.00026724	-0.004669691	-0.006160606	0.008011164	0.001930016	-0.00733193	0.011700307	0.001020641	0.00672881	0.005546884	0.023626197
8/3/2016	-0.016736854	-0.008342537	0.003156092	-0.012871574	-0.012456407	-0.007717206	-0.019649723	-0.009390931	0.000358045	0.008232694	-0.041291333
9/3/2016	0.001325093	0.001449315	0.007234414	0.001692919	0.002405638	0.010272954	0.006619609	0.004171121	-0.002923137	0.00509828	0.015375685
10/3/2016	-0.000542901	0.001696679	5.61E-05	0.000554743	-0.00131883	-0.00123522	0.005326898	-0.001402571	0.004606942	0.00086598	0.000243492
11/3/2016	0.026582079	0.015726509	0.00201997	0.019379833	0.014396731	0.017486137	0.017650346	0.025660418	0.003335105	0.001359711	0.022332388
14/3/2016	-0.004233041	0.003940182	-0.000746662	-0.004123567	0.00034148	0.000706644	-0.006535504	-0.001264118	-0.000534198	0.000864118	-0.00617018
15/3/2016	-0.001195528	-0.00013031	0.001905332	-0.0161434	-0.001152092	0.004180409	-0.009108613	0.001160222	0.001900416	0.002220002	-0.001437693
16/3/2016	-0.001562764	0.007296841	0.001827061	-0.00281431	0.006471867	0.011026209	0.017399828	0.009587059	0.009721395	0.009926976	0.016056164
17/3/2016	0.011822259	0.002732642	0.006922922	-0.010486356	0.019969873	0.004632294	0.022050102	0.015913613	0.006986042	0.010519888	0.014342443
18/3/2016	0.010104359	0.000983625	-0.00188519	0.01326646	0.00815616	0.002561583	0.000526184	-0.004365498	-0.009619273	-0.006270339	0.001947407
21/3/2016	-0.001857306	0.000386613	0.000740717	0.0044676	0.002455943	0.003218033	-0.00504892	-0.007376498	0.00570992	-0.001213457	-0.005006856
22/3/2016	-0.002905312	-0.002399379	-0.007530775	0.008921114	-0.003232263	0.001101335	0.000599124	-0.000103877	-0.005443418	-0.003604258	-0.003269796
23/3/2016	-0.007595624	-0.006279281	0.000335569	-0.006243103	-0.005824536	-0.006023275	-0.012256149	-0.004781447	-0.004943481	0.007275275	-0.021003783
24/3/2016	-0.006466058	0.000877242	-0.000521784	-0.000884574	-0.002887739	0.001355896	0.000178344	0.000417786	0.010172706	0.003026268	0.004917555
28/3/2016	0.002988424	0.00507994	0.004307447	-0.002835979	0.001583455	-0.00283242	0.004883944	0.008560836	0.001053821	-0.003580334	-0.003421069
29/3/2016	0.001555986	0.009446414	0.007333874	0.011672059	0.005179881	0.015809284	0.003547609	0.017752666	0.011463369	0.014009452	0.003497991
30/3/2016	0.00598287	0.006238741	0.005197787	-0.000725071	0.004677109	0.006983653	0.005090506	-0.002593544	-0.000173464	-0.002349086	0.002749734
31/3/2016	-0.002070069	-0.000937995	-0.00330055	-0.002189533	-0.003748974	-0.001544191	-0.008828115	0.005251612	-0.002082011	0.005427566	-0.001576221
1/4/2016	0.008132762	0.005044209	0.012528511	0.012681001	0.001654098	0.008587499	0.00684856	0.002028778	-0.001970422	0.003890013	-0.013862165
4/4/2016	-0.005193012	-0.008581218	-0.001417171	0.010204257	-0.009681286	-0.005097907	-0.00976242	0.000101257	0.006852056	-0.003953976	-0.00510962
5/4/2016	-0.014445628	-0.008416007	-0.006695998	-0.012271043	-0.005732152	-0.010653468	-0.007118198	-0.006782044	-0.00605573	-0.01885594	-0.007736923
6/4/2016	0.005829641	0.009437684	0.007785166	0.026450366	0.002222217	0.010549578	0.00878235	0.003821851	-0.010328414	-0.001213801	0.021014731
7/4/2016	-0.01937473	-0.011535214	-0.009833455	-0.010639636	-0.007384008	-0.014333976	-0.012543524	-0.0063455	-0.014305831	-0.000283591	-0.006135519
8/4/2016	0.004052863	-0.001549449	0.0051767	-0.004301562	0.005668772	0.000411562	0.009536125	0.006079428	0.000475861	0.004578812	0.020205804
11/4/2016	0.003397286	-0.004041449	-0.007122422	-0.006717533	-0.001864999	-0.001892492	0.004954673	-0.004113124	-0.006004724	-0.003993246	-0.003991128
12/4/2016	0.01340932	0.008002065	0.006235427	0.008283951	0.008019666	0.00568824	0.01163409	0.006832611	0.007057794	0.007289528	0.028373188
13/4/2016	0.02246116	0.013477819	-0.00758605	0.008727092	0.013662392	0.013730241	0.012096393	-0.003950238	-0.009977981	-0.006513067	0.00410607
14/4/2016	0.002717643	0.000127037	-0.005065297	0.001174159	0.000308179	-0.001078136	-0.001420369	-0.006711369	0.002519636	-0.001335445	0.004193636
15/4/2016	-0.002871565	0.002875528	0.005757639	-0.000419685	0.000451878	-0.004627558	0.003850773	0.006398444	0.001256697	0.006564532	-0.012590633
18/4/2016	0.006924618	0.009124237	0.003460535	0.008978472	0.003202817	0.003917094	0.00459641	0.005849112	0.005378878	0.003301157	0.015865352
19/4/2016	0.01108687	-0.004772037	0.001504075	0.002949931	0.005095756	-0.006318594	0.021328605	-0.00040454	0.007609076	0.001243871	0.018828054
20/4/2016	0.008867586	0.000378533	-0.013718685	0.006028878	-0.001323466	0.002160392	-0.002795706	-0.015125406	-0.005250734	-0.024445983	0.008050727
21/4/2016	-0.009577243	-0.002475415	-0.016472284	0.005543905	-0.003364101	-0.001179526	-0.004728751	-0.017874548	-0.027341205	-0.021607832	-0.004920947
22/4/2016	0.01040139	-0.002845066	0.003965251	0.002388684	0.00270034	-0.019016994	0.006651705	0.012551612	0.007621951	0.009237087	0.013295496
25/4/2016	-0.002896216	0.00153761	0.007165555	-0.003706934	-0.006059372	-0.001411401	-0.006135821	0.006094689	0.0030862	0.001872165	-0.010800852
26/4/2016	0.007230063	0.00226322	-0.003137124	-0.004360939	0.008887921	-0.003921429	0.011295852	0.002874957	-0.003438659	0.001577899	0.013972023
27/4/2016	0.000846403	-0.001026457	0.004402022	-0.001189023	0.007039514	-0.008416204	0.006976777	-0.003122603	0.018826809	0.01413766	0.016591236
28/4/2016	-0.011118476	-0.011128289	0.000205124	-0.00591586	-0.009596541	-0.013692494	-0.009026986	-0.003799966	-0.006951861	-0.000858537	-0.013476127
